week,km_total,run_count,avg_pace,max_run_km,avg_run_km,long_run_ratio,efficiency
2025-06-09/2025-06-15,23.9591,2.0,5.980822135639132,18.9509,11.97955,1.5819375519113825,0.018206022187004754
2025-06-16/2025-06-22,33.455200000000005,4.0,5.104411145520151,11.8954,8.363800000000001,1.4222482603601232,0.01976467038769045
2025-06-23/2025-06-29,0.0,0.0,5.104411145520151,,,1.4222482603601232,0.01976467038769045
2025-06-30/2025-07-06,34.3801,6.0,5.397555417287772,14.1999,5.730016666666667,2.4781603311217824,0.02032968201637775
2025-07-07/2025-07-13,25.8705,2.0,5.089017954871071,14.886700000000001,12.93525,1.1508629520109779,0.019683298476247387
2025-07-14/2025-07-20,35.5139,3.0,5.411524301261248,23.3466,11.837966666666667,1.9721799070223207,0.019462931760741365
2025-07-21/2025-07-27,31.1704,3.0,5.538401557893626,15.720600000000001,10.390133333333333,1.5130315940764316,0.018690938842299037
2025-07-28/2025-08-03,37.8019,3.0,5.459449692099576,15.006,12.600633333333334,1.1908925212753856,0.019390725722603447
2025-08-04/2025-08-10,20.3016,2.0,5.0727886289737,12.9406,10.1508,1.2748354809473144,0.020311248073959936
2025-08-11/2025-08-17,33.0981,2.0,5.2852773221590414,16.615599999999997,16.54905,1.0040213788706902,0.019267922235722962
2025-08-18/2025-08-24,14.396,1.0,5.309546564723373,14.396,14.396,1.0,0.01953329184816428
2025-08-25/2025-08-31,18.728,2.0,5.277767139129056,10.4427,9.364,1.1151964972234087,0.018809241706161134
2025-09-01/2025-09-07,31.4928,2.0,4.822722117554441,21.3964,15.7464,1.3588121729411167,0.019684120660216277
2025-09-08/2025-09-14,19.541400000000003,2.0,6.024176389278055,14.316600000000001,9.770700000000001,1.4652583745279253,0.017996747967479673
2025-09-15/2025-09-21,23.1147,2.0,4.619960300573696,16.2205,11.55735,1.4034791712633088,0.02195077484047402
2025-09-22/2025-09-28,47.0543,4.0,5.131115778745343,21.5198,11.763575,1.8293588471191795,0.019766741911211437
2025-09-29/2025-10-05,10.2113,1.0,5.619240278714317,10.2113,10.2113,1.0,0.01889171974522293
2025-10-06/2025-10-12,9.850900000000001,2.0,4.897202329704859,8.030100000000001,4.9254500000000005,1.630328193363043,0.020724284844796104
2025-10-13/2025-10-19,19.109,2.0,5.439721793027463,10.0923,9.5545,1.0562876131665706,0.01915
2025-10-20/2025-10-26,9.8651,1.0,5.312931675698651,9.8651,9.8651,1.0,0.019717159019484603
2025-10-27/2025-11-02,28.3545,3.0,5.609019377525236,10.411700000000002,9.451500000000001,1.101592339840237,0.01911025968497233
2025-11-03/2025-11-09,24.2576,2.0,5.829218425465321,15.026200000000001,12.1288,1.2388859573906734,0.018957856909506694
2025-11-10/2025-11-16,19.9538,2.0,5.2575210553105265,10.5775,9.9769,1.0601990598282032,0.020334701610356803
2025-11-17/2025-11-23,31.5609,3.0,5.262556876228705,11.5414,10.5203,1.097059969772725,0.01969252992158481
2025-11-24/2025-11-30,0.0,0.0,5.262556876228705,,,1.097059969772725,0.01969252992158481
2025-12-01/2025-12-07,9.8165,1.0,4.47427293064877,9.8165,9.8165,1.0,0.0216695753344968
2025-12-08/2025-12-14,28.786,2.0,5.186533809059904,15.3613,14.393,1.0672757590495379,0.019105450236966824
2025-12-15/2025-12-21,26.1996,2.0,4.855550038688796,15.661200000000001,13.0998,1.1955297027435534,0.020746449078271383
2025-12-22/2025-12-28,14.3363,1.0,5.024620641141594,14.3363,14.3363,1.0,0.02190885072655218
2025-12-29/2026-01-04,24.4343,2.0,5.737613003059227,13.494399999999999,12.21715,1.1045456591758307,0.01861894203357618
2026-01-05/2026-01-11,26.030900000000003,2.0,5.269088319344482,14.5253,13.015450000000001,1.1160044408760357,0.019172977885489245
2026-01-12/2026-01-18,27.312399999999997,2.0,5.2545388398382435,20.040599999999998,13.656199999999998,1.4675092631918103,0.019825
2026-01-19/2026-01-25,0.0,0.0,5.2545388398382435,,,1.4675092631918103,0.019825
2026-01-26/2026-02-01,24.040699999999998,2.0,5.2811477205075175,15.153799999999999,12.020349999999999,1.260678765593348,0.01951309707241911
2026-02-02/2026-02-08,11.5749,1.0,5.933309600094932,11.5749,11.5749,1.0,0.019005412719891746
2026-02-09/2026-02-15,35.4767,3.0,5.273460629342192,12.8141,11.825566666666667,1.0835928933638135,0.019250860498076533
2026-02-16/2026-02-22,31.6824,3.0,5.103645158552419,11.511,10.5608,1.089974244375426,0.020098239869013507
2026-02-23/2026-03-01,19.6313,2.0,5.192789155416133,11.6099,9.81565,1.182794822553779,0.020337114051669818
2026-03-02/2026-03-08,31.1087,3.0,4.940268706039382,11.190299999999999,10.369566666666666,1.0791482768485987,0.020303453783190258
2026-03-09/2026-03-15,26.2864,3.0,4.637661513537831,10.7365,8.762133333333333,1.2253294479274455,0.02163490471414243
2026-03-16/2026-03-22,20.9354,2.0,5.068191898285038,10.9206,10.4677,1.0432664291105018,0.020724181360201512
